,영화명,감독,배급사,개봉일,국적,전국관객수,장르,등급,유료시사회,개봉달,스크린수,상영횟수,관객수,매출액,누적관객수,주연,감독관객,평점,평점수,SSS,SS,S,A,B,C,D,F,기록없음
16,밀정,김지운,워너브러더스 코리아(주),2016-09-07,한국,7487545,액션,15세이상관람가,1,9,24,93,"18,533","165,165,400","18,533","송강호,공유,한지민",2821448,8.75,443,1,1,1,0,0,0,0,0,0
17,1987,장준환,씨제이이앤엠(주),2017-12-27,한국,7231770,드라마,15세이상관람가,0,12,45,170,"35,331","304,097,500","35,331",김윤석하정우유해진김태리,3208772,7.55,1225,0,0,0,0,0,0,0,0,0
18,베를린,류승완,씨제이이앤엠(주),2013-01-30,한국,7166199,액션,15세이상관람가,0,1,631,"1,792","142,751","1,039,160,500","142,751","하정우,한석규,류승범,전지현",2197548,8.83,20172,2,0,0,1,1,0,0,0,0
19,마스터,조의석,씨제이이앤엠(주),2016-12-21,한국,7150541,액션,15세이상관람가,0,12,35,129,"23,444","213,373,200","23,444","이병헌,강동원,김우빈",4273342,8.58,1350,0,0,1,2,0,0,0,0,0
20,터널,김성훈,(주)쇼박스,2016-08-10,한국,7118592,드라마,12세이상관람가,1,8,24,80,"20,854","176,843,100","20,854","하정우,배두나,오달수",4001848,8.28,545,1,1,0,1,0,0,0,0,0
21,내부자들,우민호,(주)쇼박스,2015-11-19,한국,7071763,범죄,청소년관람불가,1,11,712,"1,814","113,784","922,066,800","113,784","이병헌,조승우,백윤식",3489423,7.77,1312,1,0,0,2,0,0,0,0,0
22,인천상륙작전,이재한,씨제이이앤엠(주),2016-07-27,한국,7049643,전쟁,12세이상관람가,0,7,32,76,"12,711","107,227,100","12,711","이정재,이범수,리암니슨",2361891,7.57,2069,1,0,0,1,0,0,0,1,0
23,럭키,이계벽,(주)쇼박스,2016-10-13,한국,6965706,코미디,15세이상관람가,1,10,345,"1,388","146,036","1,265,452,400","146,036","유해진,이준,조윤희,임지연",2891816,9.35,2144,1,0,1,2,0,0,0,0,0
24,은밀하게 위대하게,장철수,(주)쇼박스,2013-06-05,한국,6953800,액션,15세이상관람가,1,6,15,34,"9,628","71,783,000","9,628","김수현,박기웅,이현우,손현주,신정근",2375181,9.59,38172,0,0,0,1,1,0,1,2,0
25,곡성,나홍진,이십세기폭스코리아(주),2016-05-12,한국,6878264,미스터리,15세이상관람가,1,5,895,"2,176","176,514","1,392,943,500","176,514","곽도원,황정민,쿠니무라준,천우희,김환희,전배수",4728865,8.84,812명,1,0,1,3,1,0,0,0,0
26,범죄도시,강윤성,메가박스중앙(주)플러스엠,2017-10-03,한국,6851297,범죄,청소년관람불가,1,10,35,156,"30,408","257,061,600","30,408",마동석,6880535,9.28,1209,1,0,0,0,0,0,0,0,0
27,군함도,류승완,씨제이이앤엠(주),2017-07-26,한국,6592151,액션,15세이상관람가,0,7,34,98,"21,629","185,306,800","21,629","황정민,소지섭,송중기,이정현,김수안",2197548,8.54,3374,1,0,1,3,0,0,0,0,0
28,사도,이준익,(주)쇼박스,2015-09-16,한국,6246849,사극,12세이상관람가,0,9,15,63,"14,455","113,049,000","14,455","송강호,유아인,문근영",1341667,8.67,557,1,0,0,1,1,0,0,0,0
29,연평해전,김학순,(주)넥스트엔터테인먼트월드(NEW),2015-06-24,한국,6043458,드라마,12세이상관람가,1,6,42,81,"9,223","71,015,000","9,223","김무열,진구,이현우,이완",6044956,9.45,5255,0,0,0,0,3,1,0,0,0
30,청년경찰,김주환,롯데쇼핑㈜롯데엔터테인먼트,2017-08-09,한국,5636259,액션,15세이상관람가,1,8,26,192,"36,656","307,337,100","36,656","박서준,강하늘,성동일,박하선",1886732,8.77,1430,0,0,0,2,1,1,0,0,0
31,숨바꼭질,허정,(주)넥스트엔터테인먼트월드(NEW),2013-08-14,한국,5602543,스릴러,15세이상관람가,1,8,18,84,"17,990","122,927,000","17,990","손현주,문정희,전미선",1306438,9.11,13488,0,0,0,0,2,0,1,0,0
32,덕혜옹주,허진호,롯데쇼핑㈜롯데엔터테인먼트,2016-08-03,한국,5593551,사극,12세이상관람가,1,8,24,90,"14,943","131,574,500","14,943","손예진,박해일",1965958,8.23,1858,0,0,0,2,0,0,0,0,0
33,더 테러 라이브,김병우,롯데쇼핑㈜롯데엔터테인먼트,2013-07-31,한국,5583596,범죄,15세이상관람가,0,7,314,"1,050","127,256","974,499,000","127,256","하정우,이경영,전혜진,이다윗",2792252,7.64,17284,1,0,1,0,0,0,2,0,0
34,감시자들,"조의석,김병서",(주)넥스트엔터테인먼트월드(NEW),2013-07-03,한국,5496547,범죄,15세이상관람가,1,7,13,51,"12,185","86,500,000","12,185","설경구,정우성,한효주,진경,이준호",4273342,8.34,13404,0,0,0,2,1,0,2,0,0
35,검은 사제들,장재현,씨제이이앤엠(주),2015-11-05,한국,5440945,미스터리,15세이상관람가,1,11,19,39,"7,584","65,723,000","7,584","김윤석,강동원",1814412,8.48,520,0,0,1,1,0,0,0,0,0
36,더 킹,한재림,(주)넥스트엔터테인먼트월드(NEW),2017-01-18,한국,5316325,범죄,15세이상관람가,0,1,26,72,"14,012","134,384,000","14,012","조인성,정우성,배성우,류준열,김의성,이석호",5138052,8.54,1087,0,0,2,2,2,0,0,0,0
37,"님아, 그 강을 건너지 마오",진모영,CGV아트하우스,2014-11-27,한국,4801355,다큐멘터리,전체관람가,1,11,26,68,"6,198","48,982,000","6,198",조병만,2406234,9.8,191,0,0,0,0,0,1,0,0,0
38,군도: 민란의 시대,윤종빈,(주)쇼박스,2014-07-23,한국,4774895,사극,15세이상관람가,0,7,44,72,"13,964","102,601,000","13,964","하정우,강동원,조진웅,마동석,정만식,김성균,김재영,주진모,이경영",4251672,9.28,"1,742명",2,0,2,2,0,0,1,2,0
39,신세계,박훈정,(주)넥스트엔터테인먼트월드(NEW),2013-02-21,한국,4682492,범죄,청소년관람불가,0,2,13,35,"9,191","73,105,000","9,191","이정재,최민식,황정민",2108364,8.99,20931,1,0,1,0,0,1,0,0,0
40,판도라,박정우,(주)넥스트엔터테인먼트월드(NEW),2016-12-07,한국,4571142,드라마,12세이상관람가,1,12,28,78,"18,372","153,855,000","18,372","김남길,김영애,문정희,정진영,이경영,강신일,김대명,유승목,김주현,김명민",3143156,8.13,732,0,0,2,1,2,3,1,1,0
41,강철비,양우석,(주)넥스트엔터테인먼트월드(NEW),2017-12-14,한국,4451351,액션,15세이상관람가,1,12,41,99,"16,112","133,068,700","16,112","정우성,곽도원",7913817,7.49,853,0,0,0,1,1,0,0,0,0
42,아가씨,박찬욱,씨제이이앤엠(주),2016-06-01,한국,4277071,스릴러,청소년관람불가,1,6,30,55,"10,768","96,897,200","10,768","김민희,김태리,하정우,조진웅",1434225,7.92,439,1,0,1,1,0,0,0,1,0
43,용의자,원신연,(주)쇼박스,2013-12-24,한국,4131248,액션,15세이상관람가,0,12,23,92,"19,615","148,085,000","19,615","공유,박희순,조성하,유다인,김성균",2264295,9.28,931,0,1,1,1,0,1,1,0,0
44,꾼,장창원,(주)쇼박스,2017-11-22,한국,4018341,범죄,15세이상관람가,0,11,49,189,"38,739","333,622,300","38,739","현빈,유지태",2108812,7.48,323,0,1,0,0,0,1,0,0,0
45,타짜-신의 손,강형철,롯데쇼핑㈜롯데엔터테인먼트,2014-09-03,한국,4001813,드라마,청소년관람불가,1,9,28,84,"16,803","128,406,100","16,803","최승현,신세경,곽도원,유해진,김윤석,이하늬,김인권,이경영,고수희,오정세,신세경,곽도원,유해진,김윤석,이하늬,김인권,이경영,고수희,오정세",3823025,4.38,3454,2,0,4,4,5,2,2,0,0
46,박수건달,조진규,(주)쇼박스,2013-01-09,한국,3893216,코미디,15세이상관람가,0,1,14,40,"10,240","74,221,000","10,240","박신양,김정태,엄지원,정혜영",1828681,8.98,11134,0,0,0,1,0,2,0,1,0
47,조선명탐정 : 사라진 놉의 딸,김석윤,(주)쇼박스,2015-02-11,한국,3872015,사극,12세이상관람가,0,2,14,34,"8,202","64,359,000","8,202","김명민,오달수,이연희",3700802,8.45,312,0,1,0,0,1,1,0,0,0
48,역린,이재규,롯데쇼핑㈜롯데엔터테인먼트,2014-04-30,한국,3849433,사극,15세이상관람가,0,4,25,35,"6,366","42,921,000","6,366","현빈,정재영,조정석,한지민,조재현,박성웅",1924950,9.05,1281,0,1,1,0,0,2,1,1,0
49,남한산성,황동혁,씨제이이앤엠(주),2017-10-03,한국,3829891,사극,15세이상관람가,1,10,40,155,"28,918","235,401,800","28,918","이병헌,김윤석,박해일,고수,박희순,조우진",5723926,8.27,712,0,0,2,3,0,1,0,0,0
50,귀향,조정래,(주)와우픽쳐스,2016-02-24,한국,3586523,드라마,15세이상관람가,1,2,21,47,"11,054","83,778,000","11,054","손숙,영희,강하나,최리,임성철",1210936,9.69,1489,0,0,0,0,1,2,0,1,0
51,신의 한 수,조범구,(주)쇼박스,2014-07-03,한국,3562123,범죄,청소년관람불가,1,7,504,"1,320","73,945","589,721,700","73,945","정우성,안성기,이범수,김인권,이시영,안길강",2343552,8.82,494,0,0,1,2,2,0,0,1,0
52,끝까지 간다,김성훈,(주)쇼박스,2014-05-29,한국,3450143,액션,15세이상관람가,1,5,107,300,"26,472","186,449,000","26,472","이선균,조진웅",4001848,9.57,995,0,0,0,1,0,1,0,0,0
53,스파이,이승준,씨제이이앤엠(주),2013-09-05,한국,3423920,액션,15세이상관람가,1,9,69,136,"13,198","116,309,000","13,198","주드로,제이슨스타뎀",3436092,9.38,503,0,0,0,0,0,1,0,1,0
54,아이 캔 스피크,김현석,롯데쇼핑㈜롯데엔터테인먼트,2017-09-21,한국,3280243,코미디,12세이상관람가,0,9,37,162,"31,512","258,730,400","31,512","나문희,이제훈",1955862,9.33,456,0,0,1,0,1,0,0,0,0
55,감기,김성수,아이러브시네마,2013-08-14,한국,3119023,드라마,15세이상관람가,0,8,325,"1,067","126,800","947,094,000","126,800","장혁,수애,박민하,남문철",1904109,7.83,12176,0,0,0,1,0,2,0,1,0
56,스물,이병헌,(주)넥스트엔터테인먼트월드(NEW),2015-03-25,한국,3044134,코미디,15세이상관람가,0,3,58,167,"18,501","156,809,500","18,501","김우빈,이준호,강하늘",1414277,9.04,814,0,0,1,1,0,0,1,0,0
57,형,권수경,씨제이이앤엠(주),2016-11-23,한국,2982022,코미디,12세이상관람가,0,11,46,99,"20,515","163,375,000","20,515","조정석,도경수,박신혜",2493705,9.31,821,0,1,0,0,1,1,0,0,0
58,친구 2,곽경택,롯데쇼핑㈜롯데엔터테인먼트,2013-11-14,한국,2971475,액션,청소년관람불가,0,11,11,43,"8,124","52,496,000","8,124","유오성,주진모,김우빈",2051963,7.54,"7,491명",0,0,2,0,0,1,0,0,0
59,프리즌,나현,(주)쇼박스,2017-03-23,한국,2931897,범죄,청소년관람불가,0,3,871,"2,563","108,154","861,587,800","108,154","한석규,김래원",2931897,9.08,1490,0,0,0,0,2,0,0,0,0
60,극비수사,곽경택,(주)쇼박스,2015-06-18,한국,2860786,드라마,15세이상관람가,0,6,18,37,"6,663","50,059,000","6,663","김윤석,유해진",2051963,8.74,235,1,0,1,0,0,0,0,0,0
61,표적,창,씨제이이앤엠(주),2014-04-30,한국,2841788,액션,15세이상관람가,0,4,18,34,"7,010","59,479,000","7,010","류승룡,유준상,이진욱,김성령,조여정,조은지,김대명",1652934,9.15,248,0,0,0,2,0,1,4,0,0
62,소원,이준익,롯데쇼핑㈜롯데엔터테인먼트,2013-10-02,한국,2663170,드라마,12세이상관람가,0,10,78,239,"48,186","279,519,000","48,186","설경구,엄지원,이레",1341667,9.45,8375,0,0,0,2,0,0,1,0,0
63,살인자의 기억법,원신연,(주)쇼박스,2017-09-06,한국,2656694,범죄,15세이상관람가,0,9,7,17,"4,720","36,408,000","4,720","설경구,김남길,설현,오달수",2264295,7.94,995,0,1,0,1,0,1,1,0,0
64,탐정 : 더 비기닝,김정훈,씨제이이앤엠(주),2015-09-24,한국,2625686,코미디,15세이상관람가,0,9,49,200,"24,775","209,551,500","24,775","권상우,성동일",2346612,8.43,386,0,0,0,0,1,1,0,0,0
65,아수라,김성수,씨제이이앤엠(주),2016-09-28,한국,2594028,범죄,청소년관람불가,0,9,44,122,"24,846","221,369,000","24,846","정우성,황정민,주지훈",1904109,8.31,692,1,0,1,0,1,0,0,0,0
66,보안관,김형주,롯데쇼핑㈜롯데엔터테인먼트,2017-05-03,한국,2571491,범죄,15세이상관람가,0,5,31,123,"22,154","189,085,900","22,154","이성민,조진웅,김성균",3682219,8.26,199,0,0,0,1,1,0,1,0,0
67,기술자들,김홍선,롯데쇼핑㈜롯데엔터테인먼트,2014-12-24,한국,2564340,범죄,15세이상관람가,0,12,477,"1,409","63,883","496,926,100","63,883","김우빈,김영철",30116,8.84,978,0,0,1,0,0,1,0,0,0
68,조작된 도시,박광현,씨제이이앤엠(주),2017-02-09,한국,2512572,범죄,15세이상관람가,0,2,34,98,"18,203","148,567,200","18,203","지창욱,심은경,안재홍",4476200,8.92,706,0,0,0,0,0,2,1,0,0
69,재심,김태윤,오퍼스픽쳐스,2017-02-15,한국,2420729,드라마,15세이상관람가,0,2,15,63,"13,133","97,484,000","13,133","정우,강하늘,김해숙,이동휘,한재영,이경영",1089458,9.31,271,0,0,4,1,0,1,0,0,0
70,화이: 괴물을 삼킨 아이,장준환,(주)쇼박스,2013-10-09,한국,2391963,액션,청소년관람불가,0,10,8,31,"7,632","54,415,000","7,632","여진구,김윤석,조진웅,장현성,김성균,박해준",3208772,9.23,"6,227명",0,0,1,2,1,0,2,0,0
71,박열,이준익,메가박스중앙(주)플러스엠,2017-06-28,한국,2359174,드라마,12세이상관람가,0,6,29,119,"19,175","157,440,300","19,175","이제훈,최희서,김인우,권율,민진웅",1341667,9.15,857,0,0,1,0,1,2,1,0,0
72,악의 연대기,백운학,씨제이이앤엠(주),2015-05-14,한국,2192243,스릴러,15세이상관람가,0,5,22,65,"12,711","105,452,000","12,711","손현주,마동석,최다니엘,박서준",2192525,8.45,235,1,0,0,1,0,1,1,0,0
73,강남 1970,유하,(주)쇼박스,2015-01-21,한국,2192172,액션,청소년관람불가,0,1,12,48,"10,822","93,249,100","10,822","이민호,김래원,정진영",2517954,9.32,1317,0,0,0,0,1,0,1,1,0
74,나의 사랑 나의 신부,임찬상,씨네그루(주)다우기술,2014-10-08,한국,2135614,멜로/로맨스,15세이상관람가,0,10,81,212,"12,831","100,795,500","12,831","조정석,신민아",1444767,9.17,285,0,0,0,0,0,1,1,0,0
75,굿바이 싱글,김태곤,(주)쇼박스,2016-06-29,한국,2108273,코미디,15세이상관람가,0,6,56,153,"31,562","264,500,600","31,562",김혜수,718610,9.39,1307,0,0,0,0,0,1,0,0,0
76,몽타주,정근섭,(주)넥스트엔터테인먼트월드(NEW),2013-05-16,한국,2095375,스릴러,15세이상관람가,0,5,15,42,"10,506","76,428,000","10,506","엄정화,김상경,송영창",2095592,8.8,5662,0,1,0,0,0,1,1,0,0
77,내부자들: 디 오리지널,우민호,(주)쇼박스,2015-12-31,한국,2083999,범죄,청소년관람불가,0,12,3,7,"1,082","8,530,000","1,082","이병헌,조승우,백윤식",3489423,0,0,1,0,0,2,0,0,0,0,0
78,뷰티 인사이드,백,(주)넥스트엔터테인먼트월드(NEW),2015-08-20,한국,2053947,판타지,12세이상관람가,0,8,81,237,"29,229","261,802,000","29,229","한효주,김대명,도지한,배성우,박신혜,이범수,박서준,김상호,천우희,우에노주리,이재준,김민재,이현우,조달환,이진욱,홍다미,서강준,김희원,이동욱,고아성,김주혁,유연석",2057896,5.65,2664,0,0,0,6,4,3,7,2,0
79,봉이 김선달,박대민,씨제이이앤엠(주),2016-07-06,한국,2044564,사극,12세이상관람가,0,7,15,66,"12,393","104,223,000","12,393","유승호,조재현,고창석,라미란,시우민,연우진,전석호",1971872,8.83,864,0,0,0,1,1,2,3,0,0
80,남자가 사랑할 때,한동욱,(주)넥스트엔터테인먼트월드(NEW),2014-01-22,한국,1979311,멜로/로맨스,15세이상관람가,0,1,11,29,"6,982","46,665,000","6,982","황정민,한혜진,곽도원,최우리",3794238,9.08,459,0,0,1,1,1,1,0,0,0
81,오늘의 연애,박진표,씨제이이앤엠(주),2015-01-14,한국,1891993,멜로/로맨스,15세이상관람가,0,1,9,35,"7,684","66,570,000","7,684","이승기,문채원",2333267,9.28,957,0,0,0,0,0,1,1,0,0
82,연애의 온도,노덕,롯데쇼핑㈜롯데엔터테인먼트,2013-03-21,한국,1865195,멜로/로맨스,청소년관람불가,0,3,14,73,"14,969","80,463,000","14,969","이민기,김민희",827293,8.62,451,0,0,0,0,0,1,0,1,0
83,노무현입니다,이창재,CGV아트하우스,2017-05-25,한국,1854867,다큐멘터리,12세이상관람가,0,5,25,50,"7,328","67,167,900","7,328",노무현,631493,8.34,2197,0,0,0,0,0,0,1,0,0
84,집으로 가는 길,방은진,씨제이이앤엠(주),2013-12-11,한국,1854625,드라마,15세이상관람가,0,12,14,56,"10,389","60,858,000","10,389","전도연,고수",627135,7.47,5030,0,0,0,0,0,1,1,0,0
85,공범,국동석,씨제이이앤엠(주),2013-10-24,한국,1766285,스릴러,15세이상관람가,0,10,7,29,"6,386","51,708,000","6,386","손예진,김갑수",2291364,9,4016,0,0,0,1,1,0,0,0,0
86,대호,박훈정,(주)넥스트엔터테인먼트월드(NEW),2015-12-16,한국,1762742,사극,12세이상관람가,0,12,27,92,"19,064","154,411,000","19,064",최민식,2108364,8.28,553,0,0,0,0,0,1,0,0,0
87,전설의 주먹,강우석,씨제이이앤엠(주),2013-04-10,한국,1737253,드라마,청소년관람불가,0,4,27,142,"28,572","173,524,000","28,572","황정민,유준상,이요원,윤제문",1535526,8.29,6280,0,0,1,0,0,1,1,1,0
88,제보자,임순례,메가박스중앙(주)플러스엠,2014-10-02,한국,1735640,드라마,12세이상관람가,0,10,25,104,"21,156","153,649,500","21,156","박해일,유연석,이경영",1364545,8.57,553,0,0,1,1,0,0,1,0,0
89,파파로티,윤종찬,(주)쇼박스,2013-03-14,한국,1713891,드라마,15세이상관람가,0,3,25,111,"23,386","151,935,000","23,386","한석규,이제훈",739985,9.28,10020,0,0,0,0,2,0,0,0,0
90,쎄시봉,김현석,씨제이이앤엠(주),2015-02-05,한국,1707487,멜로/로맨스,15세이상관람가,0,2,25,66,"11,447","95,962,000","11,447","김윤석,정우,한효주,김희애,진구,장현성,강하늘,조복래",1955862,2.95,7979,0,0,2,1,1,1,3,0,0
91,피끓는 청춘,이연우,롯데쇼핑㈜롯데엔터테인먼트,2014-01-22,한국,1676040,코미디,15세이상관람가,0,1,22,43,"8,566","58,912,000","8,566","박보영,이종석,이세영,김영광",2350353,9.38,1286,0,0,0,0,0,2,1,1,0
92,임금님의 사건수첩,문현성,씨제이이앤엠(주),2017-04-26,한국,1634403,코미디,12세이상관람가,0,4,25,94,"16,380","132,977,100","16,380","이선균,안재홍",1916731,8.61,578,0,0,0,0,0,1,1,0,0
93,우아한 거짓말,이한,CGV아트하우스,2014-03-13,한국,1613392,드라마,12세이상관람가,0,3,62,149,"15,982","97,919,000","15,982","김희애,고아성,김유정,김향기,유아인",2666956,9.58,544,1,0,0,1,0,2,1,0,0
94,두근두근 내 인생,이재용,씨제이이앤엠(주),2014-09-03,한국,1611519,드라마,12세이상관람가,0,9,36,96,"13,610","103,682,600","13,610","송혜교,강동원,조성목,강동원,조성목,조연백일섭,황석정,허준석,김소진,채서진",583790,5.62,3145,0,0,1,3,0,0,5,0,0
95,더 폰,김봉주,(주)넥스트엔터테인먼트월드(NEW),2015-10-22,한국,1593694,스릴러,15세이상관람가,0,10,37,88,"18,634","164,123,000","18,634","손현주,엄지원,배성우",1290308,9.25,524,0,0,0,2,0,0,1,0,0
96,차이나타운,한준희,CGV아트하우스,2015-04-29,한국,1472006,범죄,청소년관람불가,0,4,22,39,"6,348","55,542,500","6,348","김혜수,김고은",736173,8.32,193,0,0,0,1,0,1,0,0,0
97,부라더,장유정,메가박스중앙(주)플러스엠,2017-11-02,한국,1468301,코미디,12세이상관람가,0,11,30,130,"24,942","194,241,700","24,942","마동석,이동휘,이하늬",1307564,9.11,825,1,0,0,0,0,2,0,0,0
98,해무(海霧),심성보,(주)넥스트엔터테인먼트월드(NEW),2014-08-13,한국,1466830,드라마,청소년관람불가,0,8,18,54,"12,091","102,081,300","12,091","김윤석,박유천,한예리,이희준,문성근김상호",1475582,9.01,1473,0,0,1,1,0,0,2,0,0
99,인간중독,김대우,(주)넥스트엔터테인먼트월드(NEW),2014-05-14,한국,1441964,멜로/로맨스,청소년관람불가,0,5,10,18,"4,679","34,793,000","4,679","송승헌,임지연,조여정,온주완,유해진",2243971,7.82,272,1,0,0,1,0,1,2,0,0
100,탐정 홍길동: 사라진 마을,조성희,씨제이이앤엠(주),2016-05-04,한국,1426873,드라마,15세이상관람가,0,5,24,53,"9,080","75,373,500","9,080","이제훈,김성균",1430885,8.47,335,0,0,0,0,1,0,1,0,0
101,런닝맨,조동오,이십세기폭스코리아(주),2013-04-04,한국,1416053,액션,15세이상관람가,0,4,12,44,"10,033","71,733,000","10,033","신하균,이민호,김상호,조은지,오정세",948101,9.17,5328,0,0,0,0,0,1,4,0,0
102,기억의 밤,장항준,메가박스중앙(주)플러스엠,2017-11-29,한국,1387599,미스터리,15세이상관람가,0,11,23,42,"7,136","42,953,300","7,136","강하늘,김무열,문성근,나영희",694783,9.22,350,0,0,0,2,1,1,0,0,0
103,브이아이피,박훈정,워너브러더스 코리아(주),2017-08-23,한국,1373316,범죄,청소년관람불가,0,8,28,39,"7,480","70,633,500","7,480","장동건,김명민,박희순,이종석",2108364,8.27,582,0,0,1,0,0,2,1,0,0
104,특별시민,박인제,(주)쇼박스,2017-04-26,한국,1362634,드라마,15세이상관람가,0,4,21,57,"8,631","73,544,600","8,631","최민식,곽도원,심은경,문소리,라미란,류혜영,이기홍",896785,8.61,519,0,0,0,2,0,3,2,0,0
105,미스터 고,김용화,(주)쇼박스,2013-07-17,한국,1328890,코미디,12세이상관람가,0,7,31,80,"19,523","169,123,000","19,523","서교,성동일",8806377,8.52,11117,0,0,0,0,0,1,1,0,0
106,장산범,허정,(주)넥스트엔터테인먼트월드(NEW),2017-08-17,한국,1305145,미스터리,15세이상관람가,0,8,19,49,"10,307","83,032,000","10,307","염정아,박혁권",1306438,8.25,423,0,0,1,0,0,1,0,0,0
107,특별수사: 사형수의 편지,권종관,(주)넥스트엔터테인먼트월드(NEW),2016-06-16,한국,1225142,범죄,15세이상관람가,0,6,35,186,"32,749","266,521,000","32,749","김명민,김상호,성동일",1081241,8.85,373,0,0,0,0,0,3,0,0,0
108,찌라시: 위험한 소문,김광식,씨제이이앤엠(주),2014-02-20,한국,1221420,범죄,15세이상관람가,0,2,9,26,"4,631","37,570,000","4,631","김강우,고창석,박성웅,정진영",636757,8.33,205명,0,0,0,1,0,1,1,1,0
109,결혼전야,홍지영,씨너스엔터테인먼트(주),2013-11-21,한국,1212270,멜로/로맨스,15세이상관람가,0,11,50,151,"25,534","166,080,500","25,534","김강우,김효진,주지훈,이연희,옥택연,마동석,구잘투르수노바,이희준",795420,8.86,2476,2,0,0,1,1,0,3,1,0
110,악녀,정병길,(주)넥스트엔터테인먼트월드(NEW),2017-06-08,한국,1206917,액션,청소년관람불가,0,6,9,18,"4,413","34,586,000","4,413","김옥빈,신하균,성준,김서형,조은지",1316125,7.45,273,0,0,0,0,0,0,5,0,0
